사건번호,사건명,해양사고종류1,해양사고발생(년도),해양사고발생(월),해양사고발생(일),해양사고발생(시),해양사고발생(분),해양사고발생시간대,계절,해양사고장소(위),해양사고장소(위도),해양사고장소(위분),해양사고장소(위초),해양사고장소(경),해양사고장소(경도),해양사고장소(경분),해양사고장소(경초),해양사고발생지역(대),해양사고발생지역(중),해양사고발생지역(통계용),선박명,선박중요도,선박톤수,톤수범위(통계용),선박용도(통계용),사망합계(선원_여객_기타),실종합계(선원_여객_기타),인명피해합계(사망_실종),부상합계(선원_여객_기타),총합(사망_실종_부상)
IC-2020-0634,"어선 대명1호, 모터보트 제이에스호 충돌사건",충돌,2020,9,6,12,36,12-16시,가을,북,N00,0,0,동,E000,0,0,국내,서해영해,서해영해,제이에스호,2,1,1~2톤미만,수상레저기구,0,0,0,0,0
IC-2020-0635,"어선 삼성호, 어선 여성호 충돌사건",충돌,2020,9,6,8,26,8-12시,가을,북,N35,43,36,동,E126,24,0,국내,서해영해,서해영해,삼성호,1,2.97,2~3톤미만,어선,0,0,0,0,0
IC-2020-0635,"어선 삼성호, 어선 여성호 충돌사건",충돌,2020,9,6,8,26,8-12시,가을,북,N35,43,36,동,E126,24,0,국내,서해영해,서해영해,여성호,2,2.44,2~3톤미만,어선,0,0,0,0,0
IC-2020-0636,어선 고흥호 전복사건,전복,2020,9,7,12,17,12-16시,가을,북,N37,0,14,동,E126,27,14,국내,서해영해,서해영해,고흥호,1,3.42,3~5톤미만,어선,0,0,0,0,0
IC-2020-0638,무등록 어선 해성2호 기타사건,기타,2020,9,3,10,13,8-12시,가을,북,N36,54,42,동,E126,49,5,국내,개항 및 진입수로,"평택항, 당진항",해성2호,1,2,2~3톤미만,어선,0,0,0,0,0
IC-2020-0639,무등록선 성식호 좌초사건,좌초,2020,9,3,7,1,4-8시,가을,북,N00,0,0,동,E000,0,0,국내,개항 및 진입수로,"장항항,군산항 및 진입수로",성식호,1,3.71,3~5톤미만,어선,0,0,0,0,0
IC-2020-0640,어선 성빈호 전복사건,전복,2020,9,3,13,20,12-16시,가을,북,N00,0,0,동,E000,0,0,국내,서해영해,서해영해,성빈호,1,2.77,2~3톤미만,어선,0,0,0,0,0
IC-2020-0641,부선 장원6001호 침수사건,침수,2020,9,3,17,38,16-20시,가을,북,N37,3,14,동,E126,31,6,국내,서해영해,서해영해,장원6001호,1,594,"500~1,000톤미만",기타선,0,0,0,0,0
IC-2020-0642,낚시어선 뉴빅토리호 기관손상사건,기관손상,2020,9,4,10,5,8-12시,가을,북,N35,47,7,동,E126,26,15,국내,서해영해,서해영해,뉴빅토리호,1,9.77,5~10톤미만,어선,0,0,0,0,0
IC-2020-0645,어선 경순호 부유물감김사건,부유물감김,2020,9,5,7,28,4-8시,가을,북,N36,35,30,동,E126,16,4,국내,서해영해,서해영해,경순호,1,1.98,1~2톤미만,어선,0,0,0,0,0
IC-2020-0646,어선 억수호 부유물감김사건,부유물감김,2020,9,5,8,31,8-12시,가을,북,N37,8,53,동,E125,42,2,국내,서해영해,서해영해,억수호,1,4.99,3~5톤미만,어선,0,0,0,0,0
IC-2020-0647,낚시어선 블랙펄3호 기관손상사건,기관손상,2020,9,5,9,16,8-12시,가을,북,N35,34,0,동,E126,21,0,국내,서해영해,서해영해,블랙펄3호,1,9.77,5~10톤미만,어선,0,0,0,0,0
IC-2020-0648,어선 용옥호 추진축계손상사건,추진축계손상,2020,9,5,14,10,12-16시,가을,북,N35,26,54,동,E126,25,26,국내,서해영해,서해영해,용옥호,1,1.49,1~2톤미만,어선,0,0,0,0,0
